Feature,Abs_Target_Correlation
URLSimilarityIndex,0.8603423834778503
HasSocialNet,0.7838816522164723
HasCopyrightInfo,0.7431971706670659
HasDescription,0.6900105110315459
IsHTTPS,0.6102534884435669
DomainTitleMatchScore,0.5842041471670028
HasSubmitButton,0.5788156779011845
IsResponsive,0.5489772580071229
URLTitleMatchScore,0.5388441829429673
SpacialCharRatioInURL,0.5330027157542911
HasHiddenFields,0.5077154887600787
HasFavicon,0.49360667836677885
URLCharProb,0.46952129489408984
CharContinuationRate,0.46716205204995315
HasTitle,0.46033747762802985
DegitRatioInURL,0.43189595910517514
Robots,0.3924614598000866
NoOfJS,0.3731616723460727
LetterRatioInURL,0.3669695442305177
Pay,0.3597237998291251
